Issue Type,Summary,Epic Name,Epic Link,Sprint,Assignee,Labels,Story ID,Owner,Depends On,Acceptance Criteria,Description
Epic,EP-01 Authentication,EP-01 Authentication,,MVP Program,,,mvp,EP-01,PM,,,"Secure login, role-based sessions, password reset, and account controls"
Epic,EP-02 Provider Requests,EP-02 Provider Requests,,MVP Program,,,mvp,EP-02,PM,,,"Transportation request intake, status tracking, cancel flow, and dispatcher intake queue"
Epic,EP-03 Driver Onboarding,EP-03 Driver Onboarding,,MVP Program,,,mvp,EP-03,PM,,,"Driver application, admin approval, activation, and availability controls"
Epic,EP-04 Ride Assignment,EP-04 Ride Assignment,,MVP Program,,,mvp,EP-04,PM,,,"Dispatch assignment, acceptance window, reassignment, and assignment exceptions"
Epic,EP-05 Trip Status Tracking,EP-05 Trip Status Tracking,,MVP Program,,,mvp,EP-05,PM,,,"Ride state machine and event timeline visibility"
Epic,EP-06 Notifications,EP-06 Notifications,,MVP Program,,,mvp,EP-06,PM,,,"Event-driven notifications and alert escalation"
Epic,EP-07 Admin Dashboard,EP-07 Admin Dashboard,,MVP Program,,,mvp,EP-07,PM,,,"Live queue operations, exceptions panel, finance visibility, and exports"
Epic,EP-08 Payout Tracking,EP-08 Payout Tracking,,MVP Program,,,mvp,EP-08,PM,,,"Completion-linked payout records, review, dispute, reconciliation"
Story,Provider secure login,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth,US-101,BE|SEC,None,"Provider, driver, and admin can authenticate with role-scoped access","As a provider, I can log in securely with email/password"
Story,Driver secure login,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth,US-102,BE|SEC,None,"Provider, driver, and admin can authenticate with role-scoped access","As a driver, I can log in and see only assignment tools"
Story,Admin account and role management,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth;admin,US-103,BE|FE|SEC,US-101|US-102,"Admin can approve a driver and activated driver can sign in","As an admin, I can manage accounts and role permissions"
Story,Secure password reset flow,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth,US-104,BE|FE,US-101|US-102,"Session timeout and secure reset flow are verified","As a user, I can reset password through secure email flow"
Story,Immediate account deactivation,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth;admin,US-105,BE|FE|SEC,US-103,"Role-scoped access and account controls are enforced","As an admin, I can deactivate user accounts immediately"
Story,Inactivity session timeout,,EP-01 Authentication,Sprint 1 (Weeks 1-2),,mvp;auth;security,US-106,BE|SEC,US-101|US-102,"Session timeout and secure reset flow are verified","As a user, session expires after inactivity and requires re-authentication"
Story,Driver application submission,,EP-03 Driver Onboarding,Sprint 1 (Weeks 1-2),,mvp;driver-onboarding,US-301,BE|FE,US-103,"Admin can approve a driver and activated driver can sign in","Driver applicant submits identity, vehicle, and insurance docs"
Story,Driver application review decision,,EP-03 Driver Onboarding,Sprint 1 (Weeks 1-2),,mvp;driver-onboarding;admin,US-302,BE|FE|QA,US-301,"Admin can approve a driver and activated driver can sign in","Admin can approve or reject driver application"
Story,Driver activation with scoped access,,EP-03 Driver Onboarding,Sprint 1 (Weeks 1-2),,mvp;driver-onboarding,US-303,BE|FE|QA,US-302,"Admin can approve a driver and activated driver can sign in","Approved driver receives account activation"
Story,Transportation request submission,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;provider-requests,US-201,BE|FE,US-101|US-103,"Provider can submit, track, cancel, and review request history","Provider submits request with appointment and route constraints"
Story,Provider active request status view,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;provider-requests,US-202,FE|BE,US-201,"Provider can submit, track, cancel, and review request history","Provider can view active request status"
Story,Provider cancellation before assignment,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;provider-requests,US-203,BE|FE,US-201,"Provider can submit, track, cancel, and review request history","Provider can cancel pending request"
Story,Provider historical request timeline,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;provider-requests,US-204,BE|FE,US-201|US-202|US-203,"Provider can submit, track, cancel, and review request history","Provider can review completed and cancelled request history"
Story,Dispatcher intake queue sorted by urgency,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;dispatcher,US-205,FE|BE,US-201,"Dispatcher can view queue by urgency and appointment time","Dispatcher sees incoming requests by urgency and appointment"
Story,Flag incomplete or conflicting requests,,EP-02 Provider Requests,Sprint 2 (Weeks 3-4),,mvp;dispatcher,US-206,BE|FE,US-201|US-205,"Incomplete or conflicting requests can be flagged for manual review","Dispatcher can route malformed requests to manual review"
Story,Driver inactive control,,EP-03 Driver Onboarding,Sprint 2 (Weeks 3-4),,mvp;driver-onboarding;admin,US-304,BE|FE,US-302|US-303,"Driver inactive controls are live and auditable","Admin marks driver inactive for safety/compliance/performance"
Story,Driver availability windows,,EP-03 Driver Onboarding,Sprint 2 (Weeks 3-4),,mvp;driver-onboarding,US-305,BE|FE,US-303,"Driver availability controls are live and auditable","Driver updates availability windows"
Story,Dispatcher assignment to active driver,,EP-04 Ride Assignment,Sprint 3 (Weeks 5-6),,mvp;assignment,US-401,BE|FE,US-201|US-205|US-303,"Dispatcher can assign, detect timeout, and reassign rides","Dispatcher assigns validated request to active driver"
Story,Driver accepts or declines assignment,,EP-04 Ride Assignment,Sprint 3 (Weeks 5-6),,mvp;assignment,US-402,BE|FE,US-401,"Dispatcher can assign, detect timeout, and reassign rides","Driver accepts or declines in SLA window"
Story,SLA alert for unaccepted assignments,,EP-04 Ride Assignment,Sprint 3 (Weeks 5-6),,mvp;assignment;alerts,US-403,BE|FE,US-402,"Dispatcher can assign, detect timeout, and reassign rides","Dispatcher is alerted when assignment expires"
Story,Dispatcher reassignment workflow,,EP-04 Ride Assignment,Sprint 3 (Weeks 5-6),,mvp;assignment,US-404,BE|FE,US-401|US-402,"Dispatcher can assign, detect timeout, and reassign rides","Dispatcher reassigns cancelled/no-show rides"
Story,Assignment exception coding,,EP-04 Ride Assignment,Sprint 3 (Weeks 5-6),,mvp;assignment;exceptions,US-405,BE|FE,US-401,"Exception events are recorded and queryable","Dispatcher logs assignment failure codes"
Story,Driver trip state transitions,,EP-05 Trip Status Tracking,Sprint 3 (Weeks 5-6),,mvp;trip-tracking,US-501,FE|BE,US-401|US-402,"Driver can update state through completion with timestamps","Driver updates en-route, arrived, in-transit, completed"
Story,Provider live trip state visibility,,EP-05 Trip Status Tracking,Sprint 3 (Weeks 5-6),,mvp;trip-tracking,US-502,FE|BE,US-501,"Provider can observe state transitions in near real-time","Provider sees live state transitions"
Story,Timestamped ride event log,,EP-05 Trip Status Tracking,Sprint 3 (Weeks 5-6),,mvp;trip-tracking;audit,US-505,FE|BE,US-501|US-502,"Exception and ride events are recorded and queryable","Stakeholders can review event timeline per ride"
Story,Provider notification on assignment,,EP-06 Notifications,Sprint 4 (Weeks 7-8),,mvp;notifications,US-601,BE|FE,US-401|US-402,"Critical notifications are sent for assignment, en-route, and cancellation/exception","Provider notified when request is assigned"
Story,Provider notification when en route,,EP-06 Notifications,Sprint 4 (Weeks 7-8),,mvp;notifications,US-602,BE|FE,US-501,"Critical notifications are sent for assignment, en-route, and cancellation/exception","Provider notified when driver is en route"
Story,Provider cancellation/exception notification,,EP-06 Notifications,Sprint 4 (Weeks 7-8),,mvp;notifications,US-603,BE|FE,US-404|US-405,"Critical notifications are sent for assignment, en-route, and cancellation/exception","Provider notified on cancellation or exception"
Story,Driver assignment offer notification,,EP-06 Notifications,Sprint 4 (Weeks 7-8),,mvp;notifications,US-604,BE|FE,US-401|US-402,"Critical notifications are sent for assignment, en-route, and cancellation/exception","Driver receives assignment offer with details"
Story,Dispatcher SLA escalation alerts,,EP-06 Notifications,Sprint 4 (Weeks 7-8),,mvp;notifications;dispatcher,US-605,BE|FE,US-403|US-504,"Dispatcher receives SLA breach alerts","Dispatcher receives escalation alert on SLA breach"
Story,Live request queue dashboard,,EP-07 Admin Dashboard,Sprint 4 (Weeks 7-8),,mvp;dashboard;admin,US-701,FE|BE,US-205|US-501|US-502,"Admin and dispatcher can manage queue and exception panels from one dashboard","Live queue with status and aging indicators"
Story,Exceptions panel by severity,,EP-07 Admin Dashboard,Sprint 4 (Weeks 7-8),,mvp;dashboard;exceptions,US-702,FE|BE,US-405|US-701,"Admin and dispatcher can manage queue and exception panels from one dashboard","Open exceptions sorted by severity"
Story,Driver load and availability panel,,EP-07 Admin Dashboard,Sprint 4 (Weeks 7-8),,mvp;dashboard,US-703,FE|BE,US-305|US-701,"Admin and dispatcher can manage queue and exception panels from one dashboard","Driver availability and assignment load view"
Story,Live active rides board,,EP-05 Trip Status Tracking,Sprint 4 (Weeks 7-8),,mvp;trip-tracking;dashboard,US-503,FE|BE,US-501|US-502|US-701,"Stalled ride alerts surface with actionable context","Admin views all active rides and states"
