Epic,Story ID,Story Summary,Sprint,Owner,Depends On,Acceptance Criteria
EP-01,US-101,Provider can log in securely with email and password,Sprint 1 (Weeks 1-2),BE;SEC,None,"Provider, driver, and admin can authenticate with role-scoped access"
EP-01,US-102,Driver can log in and see only assignment and status tools,Sprint 1 (Weeks 1-2),BE;SEC,None,"Provider, driver, and admin can authenticate with role-scoped access"
EP-01,US-103,Admin can manage user accounts roles and permissions,Sprint 1 (Weeks 1-2),BE;FE;SEC,US-101|US-102,"Admin can approve a driver and activated driver can sign in"
EP-01,US-104,User can reset password via secure email flow,Sprint 1 (Weeks 1-2),BE;FE,US-101|US-102,"Session timeout and secure reset flow are verified"
EP-01,US-105,Admin can deactivate user accounts immediately,Sprint 1 (Weeks 1-2),BE;FE;SEC,US-103,"Role-scoped access and account controls are enforced"
EP-01,US-106,Session expires after inactivity and requires re-authentication,Sprint 1 (Weeks 1-2),BE;SEC,US-101|US-102,"Session timeout and secure reset flow are verified"
EP-03,US-301,Driver applicant can submit identity vehicle and insurance documents,Sprint 1 (Weeks 1-2),BE;FE,US-103,"Admin can approve a driver and activated driver can sign in"
EP-03,US-302,Admin can review and approve or reject driver application,Sprint 1 (Weeks 1-2),BE;FE;QA,US-301,"Admin can approve a driver and activated driver can sign in"
EP-03,US-303,Approved driver receives account activation with scoped access,Sprint 1 (Weeks 1-2),BE;FE;QA,US-302,"Admin can approve a driver and activated driver can sign in"
EP-02,US-201,Provider can submit transportation request with full details,Sprint 2 (Weeks 3-4),BE;FE,US-101|US-102|US-103,"Provider can submit track cancel and review request history"
EP-02,US-202,Provider can see current status of active requests,Sprint 2 (Weeks 3-4),FE;BE,US-201,"Provider can submit track cancel and review request history"
EP-02,US-203,Provider can cancel pending request before assignment,Sprint 2 (Weeks 3-4),BE;FE,US-201,"Provider can submit track cancel and review request history"
EP-02,US-204,Provider can view completed and cancelled request history,Sprint 2 (Weeks 3-4),BE;FE,US-201|US-202|US-203,"Provider can submit track cancel and review request history"
EP-02,US-205,Dispatcher can view incoming requests sorted by urgency and time,Sprint 2 (Weeks 3-4),FE;BE,US-201,"Dispatcher can view queue by urgency and appointment time"
EP-02,US-206,Dispatcher can flag incomplete or conflicting requests,Sprint 2 (Weeks 3-4),BE;FE,US-201|US-205,"Incomplete or conflicting requests can be flagged for manual review"
EP-03,US-304,Admin can mark driver inactive for compliance or safety,Sprint 2 (Weeks 3-4),BE;FE,US-302|US-303,"Driver inactive controls are live and auditable"
EP-03,US-305,Driver can update availability windows,Sprint 2 (Weeks 3-4),BE;FE,US-303,"Driver availability controls are live and auditable"
EP-04,US-401,Dispatcher can assign validated request to active driver,Sprint 3 (Weeks 5-6),BE;FE,US-201|US-205|US-303,"Dispatcher can assign detect timeout and reassign rides"
EP-04,US-402,Driver receives assignment and can accept or decline in window,Sprint 3 (Weeks 5-6),BE;FE,US-401,"Dispatcher can assign detect timeout and reassign rides"
EP-04,US-403,Dispatcher is alerted on unaccepted assignments beyond SLA,Sprint 3 (Weeks 5-6),BE;FE,US-402,"Dispatcher can assign detect timeout and reassign rides"
EP-04,US-404,Dispatcher can reassign ride after cancellation or no-show,Sprint 3 (Weeks 5-6),BE;FE,US-401|US-402,"Dispatcher can assign detect timeout and reassign rides"
EP-04,US-405,Dispatcher can log exception codes on failed assignment,Sprint 3 (Weeks 5-6),BE;FE,US-401,"Exception events are recorded and queryable"
EP-05,US-501,Driver can update ride state through completion,Sprint 3 (Weeks 5-6),FE;BE,US-401|US-402,"Driver can update state through completion with timestamps"
